temperature,model_id,question_id,n_sentences,live_mean,replay_mean,post_mean,replay_minus_live,post_minus_replay,post_minus_live,live_post_spearman
0.7,gemini-3.1-pro-preview,p026,6,10.0,7.5,10.833333333333334,-2.5,3.333333333333334,0.8333333333333339,0.1875916198442167
0.7,gemini-3.1-pro-preview,p031,6,10.0,9.5,35.833333333333336,-0.5,26.333333333333336,25.833333333333336,0.3188740696088466
0.7,gemini-3.1-pro-preview,p043,6,8.333333333333334,11.666666666666666,15.833333333333334,3.333333333333332,4.166666666666668,7.5,0.8610584002420806
0.7,gemini-3.1-pro-preview,p051,6,15.0,9.166666666666666,25.0,-5.833333333333334,15.833333333333334,10.0,0.8970588235294118
0.7,gemini-3.1-pro-preview,p069,7,17.142857142857142,7.142857142857143,20.714285714285715,-10.0,13.571428571428573,3.571428571428573,0.9816498172140429
0.7,gemini-3.1-pro-preview,p076,7,15.714285714285714,10.714285714285714,42.142857142857146,-5.0,31.42857142857143,26.42857142857143,-0.036369648372665396
0.7,gemini-3.1-pro-preview,p085,6,11.666666666666666,13.333333333333334,39.166666666666664,1.6666666666666679,25.83333333333333,27.5,0.7356123579206245
0.7,gemini-3.1-pro-preview,p093,6,11.666666666666666,11.666666666666666,23.333333333333332,0.0,11.666666666666666,11.666666666666666,0.08956221510397983
0.7,gpt-5.5,p006,6,14.833333333333334,16.5,12.833333333333334,1.666666666666666,-3.666666666666666,-2.0,0.9428571428571428
0.7,gpt-5.5,p014,6,17.666666666666668,14.666666666666666,20.0,-3.0000000000000018,5.333333333333334,2.333333333333332,0.7714285714285715
0.7,gpt-5.5,p026,6,13.0,6.666666666666667,14.5,-6.333333333333333,7.833333333333333,1.5,1.0
0.7,gpt-5.5,p031,6,18.833333333333332,11.166666666666666,19.666666666666668,-7.666666666666666,8.500000000000002,0.8333333333333357,0.8857142857142857
0.7,gpt-5.5,p043,6,16.333333333333332,19.0,17.5,2.666666666666668,-1.5,1.1666666666666679,0.8857142857142857
0.7,gpt-5.5,p051,6,19.833333333333332,15.166666666666666,18.5,-4.666666666666666,3.333333333333334,-1.3333333333333321,0.9428571428571428
0.7,gpt-5.5,p069,6,18.333333333333332,13.833333333333334,35.833333333333336,-4.499999999999998,22.0,17.500000000000004,0.8857142857142857
0.7,gpt-5.5,p076,6,16.333333333333332,12.166666666666666,22.666666666666668,-4.166666666666666,10.500000000000002,6.333333333333336,0.9428571428571428
0.7,gpt-5.5,p085,6,15.333333333333334,15.5,16.166666666666668,0.16666666666666607,0.6666666666666679,0.8333333333333339,0.8285714285714286
0.7,gpt-5.5,p093,6,23.666666666666668,12.333333333333334,16.0,-11.333333333333334,3.666666666666666,-7.666666666666668,0.8857142857142857
