model_id,variant_id,question_id,family,condition,sentence_index,raw_score,normalized_ai_risk
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,3,15,15
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,4,14,14
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,5,11,11
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,6,13,13
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,0,12,12
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,1,8,8
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,2,15,15
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,3,20,20
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,4,10,10
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,5,18,18
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,6,14,14
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,live,7,11,11
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,0,15,15
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,1,10,10
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,2,30,30
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,3,40,40
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,4,15,15
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,5,55,55
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,6,20,20
gemini-3.1-pro-preview,minimal,x10_dentist_wait,everyday_anecdote,post,7,80,80
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,0,15,15
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,1,20,20
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,2,10,10
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,3,12,12
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,4,18,18
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,live,5,15,15
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,0,60,60
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,1,75,75
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,2,80,80
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,3,65,65
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,4,70,70
gemini-3.1-pro-preview,minimal,x11_shared_office,opinion_from_experience,post,5,85,85
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,0,15,15
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,1,10,10
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,2,12,12
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,3,8,8
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,4,15,15
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,5,5,5
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,live,6,10,10
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,0,82,82
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,1,65,65
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,2,78,78
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,3,70,70
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,4,85,85
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,5,90,90
gemini-3.1-pro-preview,minimal,x12_bus_detour,everyday_anecdote,post,6,95,95
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,0,15,15
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,1,10,10
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,2,20,20
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,3,5,5
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,4,25,25
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,5,12,12
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,live,6,8,8
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,0,12,12
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,1,18,18
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,2,24,24
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,3,20,20
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,4,28,28
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,5,35,35
gemini-3.1-pro-preview,minimal,x13_small_restaurant,recommendation_post,post,6,15,15
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,0,15,15
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,1,10,10
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,2,22,22
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,3,5,5
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,4,12,12
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,5,18,18
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,live,6,8,8
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,0,35,35
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,1,20,20
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,2,15,15
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,3,45,45
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,4,10,10
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,5,15,15
gemini-3.1-pro-preview,minimal,x14_language_class,personal_social_post,post,6,25,25
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,0,5,5
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,1,10,10
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,2,15,15
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,3,8,8
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,4,12,12
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,5,5,5
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,live,6,5,5
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,0,12,12
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,1,18,18
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,2,22,22
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,3,15,15
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,4,28,28
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,5,45,45
gemini-3.1-pro-preview,minimal,x15_school_pickup,parent_message,post,6,35,35
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,0,15,15
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,1,10,10
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,2,12,12
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,3,8,8
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,4,5,5
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,5,10,10
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,live,6,5,5
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,0,15,15
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,1,12,12
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,2,10,10
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,3,11,11
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,4,14,14
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,5,12,12
gemini-3.1-pro-preview,minimal,x16_museum,event_recap,post,6,10,10
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,0,12,12
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,1,5,5
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,2,8,8
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,3,15,15
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,4,10,10
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,5,18,18
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,live,6,5,5
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,0,15,15
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,1,10,10
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,2,25,25
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,3,15,15
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,4,20,20
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,5,30,30
gemini-3.1-pro-preview,minimal,x17_neighbor_package,practical_message,post,6,5,5
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,0,15,15
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,1,10,10
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,2,25,25
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,3,12,12
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,4,20,20
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,5,15,15
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,live,6,8,8
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,0,30,30
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,1,20,20
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,2,75,75
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,3,15,15
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,4,40,40
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,5,25,25
gemini-3.1-pro-preview,minimal,x18_failed_recipe,personal_social_post,post,6,10,10
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,0,12,12
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,1,15,15
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,2,10,10
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,3,18,18
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,4,10,10
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,5,14,14
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,6,22,22
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,live,7,8,8
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,0,12,12
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,1,18,18
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,2,8,8
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,3,22,22
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,4,15,15
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,5,20,20
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,6,75,75
gemini-3.1-pro-preview,minimal,x19_phone_repair,service_experience,post,7,10,10
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,0,15,15
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,1,10,10
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,2,12,12
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,3,8,8
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,4,5,5
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,5,10,10
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,live,6,5,5
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,0,15,15
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,1,12,12
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,2,20,20
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,3,18,18
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,4,10,10
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,5,14,14
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,workplace_anecdote,post,6,8,8
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,0,10,10
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,1,15,15
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,2,12,12
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,3,18,18
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,4,20,20
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,5,15,15
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,live,6,10,10
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,0,10,10
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,1,15,15
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,2,12,12
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,3,20,20
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,4,25,25
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,5,10,10
gemini-3.1-pro-preview,minimal,x21_early_flight,travel_moment,post,6,40,40
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,0,12,12
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,1,8,8
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,2,5,5
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,3,10,10
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,4,6,6
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,5,9,9
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,live,6,4,4
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,0,15,15
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,1,12,12
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,2,18,18
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,3,10,10
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,4,20,20
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,5,14,14
gemini-3.1-pro-preview,minimal,x22_market_purchase,neighborhood_observation,post,6,25,25
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,0,5,5
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,1,12,12
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,2,18,18
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,3,8,8
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,4,10,10
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,5,15,15
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,live,6,14,14
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,0,15,15
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,1,12,12
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,2,25,25
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,3,10,10
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,4,8,8
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,5,18,18
gemini-3.1-pro-preview,minimal,x23_child_birthday,event_recap,post,6,45,45
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,0,10,10
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,1,22,22
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,2,5,5
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,3,28,28
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,4,15,15
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,5,12,12
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,recommendation_post,live,6,35,35
