model_id,variant_id,question_id,live_status,post_status,live_error,post_error
gemini-3.1-pro-preview,reverse,x02_team_delay,complete,complete,,
gemini-3.1-pro-preview,reverse,x03_landlord_update,complete,complete,,
gemini-3.1-pro-preview,reverse,x04_old_photo,complete,complete,,
gemini-3.1-pro-preview,reverse,x05_headphones,complete,complete,,
gemini-3.1-pro-preview,reverse,x06_meal_delivery,complete,complete,,
gemini-3.1-pro-preview,reverse,x07_colleague_thanks,complete,complete,,
gemini-3.1-pro-preview,reverse,x08_weekend_change,complete,complete,,
gemini-3.1-pro-preview,reverse,x09_bookstore,complete,complete,,
gemini-3.1-pro-preview,reverse,x10_dentist_wait,complete,complete,,
gemini-3.1-pro-preview,reverse,x11_shared_office,complete,complete,,
gemini-3.1-pro-preview,reverse,x12_bus_detour,complete,complete,,
gemini-3.1-pro-preview,reverse,x13_small_restaurant,complete,complete,,
gemini-3.1-pro-preview,reverse,x14_language_class,complete,complete,,
gemini-3.1-pro-preview,reverse,x15_school_pickup,complete,complete,,
gemini-3.1-pro-preview,reverse,x16_museum,complete,complete,,
gemini-3.1-pro-preview,reverse,x17_neighbor_package,complete,complete,,
gemini-3.1-pro-preview,reverse,x18_failed_recipe,complete,complete,,
gemini-3.1-pro-preview,reverse,x19_phone_repair,complete,complete,,
gemini-3.1-pro-preview,reverse,x20_meeting_disagreement,complete,complete,,
gemini-3.1-pro-preview,reverse,x21_early_flight,complete,complete,,
gemini-3.1-pro-preview,reverse,x22_market_purchase,complete,complete,,
gemini-3.1-pro-preview,reverse,x23_child_birthday,complete,complete,,
gemini-3.1-pro-preview,reverse,x24_movie_recommendation,complete,complete,,
gpt-5.5,minimal,x01_friend_cancel,complete,complete,,
gpt-5.5,minimal,x02_team_delay,complete,complete,,
gpt-5.5,minimal,x03_landlord_update,complete,complete,,
gpt-5.5,minimal,x04_old_photo,complete,complete,,
gpt-5.5,minimal,x05_headphones,complete,complete,,
gpt-5.5,minimal,x06_meal_delivery,complete,complete,,
gpt-5.5,minimal,x07_colleague_thanks,complete,complete,,
gpt-5.5,minimal,x08_weekend_change,complete,complete,,
gpt-5.5,minimal,x09_bookstore,complete,complete,,
gpt-5.5,minimal,x10_dentist_wait,complete,complete,,
gpt-5.5,minimal,x11_shared_office,complete,complete,,
gpt-5.5,minimal,x12_bus_detour,complete,complete,,
gpt-5.5,minimal,x13_small_restaurant,complete,complete,,
gpt-5.5,minimal,x14_language_class,complete,complete,,
gpt-5.5,minimal,x15_school_pickup,complete,complete,,
gpt-5.5,minimal,x16_museum,complete,complete,,
gpt-5.5,minimal,x17_neighbor_package,complete,complete,,
gpt-5.5,minimal,x18_failed_recipe,complete,complete,,
gpt-5.5,minimal,x19_phone_repair,complete,complete,,
gpt-5.5,minimal,x20_meeting_disagreement,complete,complete,,
gpt-5.5,minimal,x21_early_flight,complete,complete,,
gpt-5.5,minimal,x22_market_purchase,complete,complete,,
gpt-5.5,minimal,x23_child_birthday,complete,complete,,
gpt-5.5,minimal,x24_movie_recommendation,complete,complete,,
gpt-5.5,original,x01_friend_cancel,complete,complete,,
gpt-5.5,original,x02_team_delay,complete,complete,,
gpt-5.5,original,x03_landlord_update,complete,complete,,
gpt-5.5,original,x04_old_photo,complete,complete,,
gpt-5.5,original,x05_headphones,complete,complete,,
gpt-5.5,original,x06_meal_delivery,complete,complete,,
gpt-5.5,original,x07_colleague_thanks,complete,complete,,
gpt-5.5,original,x08_weekend_change,complete,complete,,
gpt-5.5,original,x09_bookstore,complete,complete,,
gpt-5.5,original,x10_dentist_wait,complete,complete,,
gpt-5.5,original,x11_shared_office,complete,complete,,
gpt-5.5,original,x12_bus_detour,complete,complete,,
gpt-5.5,original,x13_small_restaurant,complete,complete,,
gpt-5.5,original,x14_language_class,complete,complete,,
gpt-5.5,original,x15_school_pickup,complete,complete,,
gpt-5.5,original,x16_museum,complete,complete,,
gpt-5.5,original,x17_neighbor_package,complete,complete,,
gpt-5.5,original,x18_failed_recipe,complete,complete,,
gpt-5.5,original,x19_phone_repair,complete,complete,,
gpt-5.5,original,x20_meeting_disagreement,complete,complete,,
gpt-5.5,original,x21_early_flight,complete,complete,,
gpt-5.5,original,x22_market_purchase,complete,complete,,
gpt-5.5,original,x23_child_birthday,complete,complete,,
gpt-5.5,original,x24_movie_recommendation,complete,complete,,
gpt-5.5,paraphrase,x01_friend_cancel,complete,complete,,
gpt-5.5,paraphrase,x02_team_delay,complete,complete,,
gpt-5.5,paraphrase,x03_landlord_update,complete,complete,,
gpt-5.5,paraphrase,x04_old_photo,complete,complete,,
gpt-5.5,paraphrase,x05_headphones,complete,complete,,
gpt-5.5,paraphrase,x06_meal_delivery,complete,complete,,
gpt-5.5,paraphrase,x07_colleague_thanks,complete,complete,,
gpt-5.5,paraphrase,x08_weekend_change,complete,complete,,
gpt-5.5,paraphrase,x09_bookstore,complete,complete,,
gpt-5.5,paraphrase,x10_dentist_wait,complete,complete,,
gpt-5.5,paraphrase,x11_shared_office,complete,complete,,
gpt-5.5,paraphrase,x12_bus_detour,complete,complete,,
gpt-5.5,paraphrase,x13_small_restaurant,complete,complete,,
gpt-5.5,paraphrase,x14_language_class,complete,complete,,
gpt-5.5,paraphrase,x15_school_pickup,complete,complete,,
gpt-5.5,paraphrase,x16_museum,complete,complete,,
gpt-5.5,paraphrase,x17_neighbor_package,complete,complete,,
gpt-5.5,paraphrase,x18_failed_recipe,complete,complete,,
gpt-5.5,paraphrase,x19_phone_repair,complete,complete,,
gpt-5.5,paraphrase,x20_meeting_disagreement,complete,complete,,
gpt-5.5,paraphrase,x21_early_flight,complete,complete,,
gpt-5.5,paraphrase,x22_market_purchase,complete,complete,,
gpt-5.5,paraphrase,x23_child_birthday,complete,complete,,
gpt-5.5,paraphrase,x24_movie_recommendation,complete,complete,,
gpt-5.5,reverse,x01_friend_cancel,complete,complete,,
gpt-5.5,reverse,x02_team_delay,complete,complete,,
gpt-5.5,reverse,x03_landlord_update,complete,complete,,
gpt-5.5,reverse,x04_old_photo,complete,complete,,
gpt-5.5,reverse,x05_headphones,complete,complete,,
gpt-5.5,reverse,x06_meal_delivery,complete,complete,,
gpt-5.5,reverse,x07_colleague_thanks,complete,complete,,
gpt-5.5,reverse,x08_weekend_change,complete,complete,,
gpt-5.5,reverse,x09_bookstore,complete,complete,,
gpt-5.5,reverse,x10_dentist_wait,complete,complete,,
gpt-5.5,reverse,x11_shared_office,complete,complete,,
gpt-5.5,reverse,x12_bus_detour,complete,complete,,
gpt-5.5,reverse,x13_small_restaurant,complete,complete,,
gpt-5.5,reverse,x14_language_class,complete,complete,,
gpt-5.5,reverse,x15_school_pickup,complete,complete,,
gpt-5.5,reverse,x16_museum,complete,complete,,
gpt-5.5,reverse,x17_neighbor_package,complete,complete,,
gpt-5.5,reverse,x18_failed_recipe,complete,complete,,
gpt-5.5,reverse,x19_phone_repair,complete,complete,,
gpt-5.5,reverse,x20_meeting_disagreement,complete,complete,,
gpt-5.5,reverse,x21_early_flight,complete,complete,,
gpt-5.5,reverse,x22_market_purchase,complete,complete,,
gpt-5.5,reverse,x23_child_birthday,complete,complete,,
gpt-5.5,reverse,x24_movie_recommendation,complete,complete,,
