item_id,model_id,question_id,arm
cd18639e930f8643,gemini-3.1-pro-preview,p012,baseline
63c3357330d179cd,gemini-3.1-pro-preview,p012,guided
f63be9ba7b736e30,gemini-3.1-pro-preview,p012,random
998ba39ac47f5d5e,gemini-3.1-pro-preview,p013,random
26e1adbca73f940e,gemini-3.1-pro-preview,p013,guided
c3c7655a1c08a9d4,gemini-3.1-pro-preview,p013,baseline
dd7f2f99351c58f0,gemini-3.1-pro-preview,p015,random
036573bd945c5626,gemini-3.1-pro-preview,p015,baseline
5adef80f6c39b239,gemini-3.1-pro-preview,p015,guided
d23e2d362461500b,gemini-3.1-pro-preview,p018,random
b85c8ea26025c742,gemini-3.1-pro-preview,p018,baseline
8466547a5ee930da,gemini-3.1-pro-preview,p018,guided
a64dafe254ab5627,gemini-3.1-pro-preview,p021,random
09d905972a2b1fbb,gemini-3.1-pro-preview,p021,baseline
4f176da1a0eaf531,gemini-3.1-pro-preview,p021,guided
8cdb15f0e1ecb97d,gemini-3.1-pro-preview,p025,guided
99bfb674648edbed,gemini-3.1-pro-preview,p025,baseline
e742a7a79b5ae7a7,gemini-3.1-pro-preview,p025,random
166262a37f31d7fa,gemini-3.1-pro-preview,p027,random
ea20929d73790176,gemini-3.1-pro-preview,p027,baseline
a0b6df28918a230a,gemini-3.1-pro-preview,p027,guided
3d7827c17904bced,gemini-3.1-pro-preview,p029,baseline
0e5796d9423bcb7e,gemini-3.1-pro-preview,p029,random
925f207d46cc607a,gemini-3.1-pro-preview,p029,guided
bd3ab45db1104031,gemini-3.1-pro-preview,p033,baseline
968e303860920d23,gemini-3.1-pro-preview,p033,guided
50771590e557d199,gemini-3.1-pro-preview,p033,random
4ca7df0d6027cf12,gemini-3.1-pro-preview,p034,baseline
e6c23a9a438e419d,gemini-3.1-pro-preview,p034,random
7c81370c46b05490,gemini-3.1-pro-preview,p034,guided
f111e4d2220c20ce,gemini-3.1-pro-preview,p040,guided
752934a22e31b66e,gemini-3.1-pro-preview,p040,random
95bc5d7047044612,gemini-3.1-pro-preview,p040,baseline
12e014c442690af1,gemini-3.1-pro-preview,p042,baseline
2f25221a84dd2637,gemini-3.1-pro-preview,p042,guided
5b4d1e859888a481,gemini-3.1-pro-preview,p042,random
413e40039d863b9c,gemini-3.1-pro-preview,p044,guided
f61d7049fbaf1123,gemini-3.1-pro-preview,p044,baseline
8cf50c27e4da1b77,gemini-3.1-pro-preview,p044,random
4a3c57e8ab2ed275,gemini-3.1-pro-preview,p045,baseline
9cea2864b2542932,gemini-3.1-pro-preview,p045,guided
8db0b59cbb6f08c5,gemini-3.1-pro-preview,p045,random
3b0e49d35a626d6a,gemini-3.1-pro-preview,p052,baseline
4eaed22d63a69518,gemini-3.1-pro-preview,p052,guided
6da22e048fef491e,gemini-3.1-pro-preview,p052,random
d3b9066d69dda553,gemini-3.1-pro-preview,p054,random
6bfe2acd7523060b,gemini-3.1-pro-preview,p054,guided
9b0907ae71b31e08,gemini-3.1-pro-preview,p054,baseline
18822c6723c76cb6,gemini-3.1-pro-preview,p056,baseline
57ea273bd89b1d8c,gemini-3.1-pro-preview,p056,random
75f6742d169f2bcd,gemini-3.1-pro-preview,p056,guided
096737a82693ddeb,gemini-3.1-pro-preview,p060,random
c3d7159a7eb33421,gemini-3.1-pro-preview,p060,guided
51a35acee200a183,gemini-3.1-pro-preview,p060,baseline
fa49a1ae2cf7b1ca,gemini-3.1-pro-preview,p065,guided
4c8860859b61958c,gemini-3.1-pro-preview,p065,random
1fbad90b7d1d6b08,gemini-3.1-pro-preview,p065,baseline
310f826e6c2ac35c,gemini-3.1-pro-preview,p066,random
af4e932a58e541ef,gemini-3.1-pro-preview,p066,guided
d128baf5a2b09a1b,gemini-3.1-pro-preview,p066,baseline
af737d22bb98af1d,gemini-3.1-pro-preview,p068,random
c30ebe4419c02252,gemini-3.1-pro-preview,p068,baseline
1858e8b617b77b0a,gemini-3.1-pro-preview,p068,guided
5c7c24693efd38ab,gemini-3.1-pro-preview,p070,guided
30c66fa3449371fd,gemini-3.1-pro-preview,p070,baseline
21c5a33a458d4bbf,gemini-3.1-pro-preview,p070,random
7a1a92b87a8f82f5,gemini-3.1-pro-preview,p071,baseline
c1f17c2140c901b2,gemini-3.1-pro-preview,p071,guided
d2ce48e22280a6f3,gemini-3.1-pro-preview,p071,random
e24f1f0852c10f0e,gemini-3.1-pro-preview,p072,random
2e70bf8766441388,gemini-3.1-pro-preview,p072,baseline
996d985016e5290d,gemini-3.1-pro-preview,p072,guided
e59a29f6f79f8fd7,gemini-3.1-pro-preview,p073,random
95992b1510ce681a,gemini-3.1-pro-preview,p073,baseline
7195a32fb01bdb3c,gemini-3.1-pro-preview,p073,guided
b47fa6eb27ebb06b,gemini-3.1-pro-preview,p077,guided
34d66c576df00abb,gemini-3.1-pro-preview,p077,baseline
4be86e005629c7e7,gemini-3.1-pro-preview,p077,random
655f99cd551bb328,gemini-3.1-pro-preview,p081,guided
ba53cea79a2a05f0,gemini-3.1-pro-preview,p081,baseline
48733b2bbb99ed6a,gemini-3.1-pro-preview,p081,random
b074cb2fb124a362,gemini-3.1-pro-preview,p082,baseline
c0ae58616e088068,gemini-3.1-pro-preview,p082,random
bcdc4237e3f1a80e,gemini-3.1-pro-preview,p082,guided
fc65c2f1391a2377,gemini-3.1-pro-preview,p084,baseline
026583d96a335740,gemini-3.1-pro-preview,p084,random
22348fd4cc0d55df,gemini-3.1-pro-preview,p084,guided
cd7761e141a4bc48,gemini-3.1-pro-preview,p086,baseline
ed95052c340acd92,gemini-3.1-pro-preview,p086,random
e3f4ebf584736347,gemini-3.1-pro-preview,p086,guided
09e141402a321856,gemini-3.1-pro-preview,p095,random
441bf9c7190c0891,gemini-3.1-pro-preview,p095,baseline
953fe39cdec3f98a,gemini-3.1-pro-preview,p095,guided
d4d3d87ec27bb40f,gemini-3.1-pro-preview,p096,guided
84363bdc2503f91e,gemini-3.1-pro-preview,p096,random
204cc48a7f84c6e1,gemini-3.1-pro-preview,p096,baseline
0e9267d5cc75a50b,gemini-3.1-pro-preview,p099,random
827373f57ddc37c9,gemini-3.1-pro-preview,p099,guided
a39bb50894784a7f,gemini-3.1-pro-preview,p099,baseline
0620cc72ad5e4093,gemini-3.1-pro-preview,ru02,random
923a938a14448359,gemini-3.1-pro-preview,ru02,guided
1842b543b2ba1f63,gemini-3.1-pro-preview,ru02,baseline
2e6e18ff5b4924fa,gemini-3.1-pro-preview,ru03,random
0689d3905eb10b4e,gemini-3.1-pro-preview,ru03,baseline
a63977fad85846c5,gemini-3.1-pro-preview,ru03,guided
bf300edfac9dbca6,gemini-3.1-pro-preview,ru04,guided
ee47361eef40a097,gemini-3.1-pro-preview,ru04,random
81337a0318e99d7e,gemini-3.1-pro-preview,ru04,baseline
518b1a9d27e60554,gemini-3.1-pro-preview,ru05,guided
d5a09ea4047d70bb,gemini-3.1-pro-preview,ru05,random
af3998fef66e2094,gemini-3.1-pro-preview,ru05,baseline
e7a26fc60c8fafdf,gemini-3.1-pro-preview,ru06,guided
2d49ea205ee0148d,gemini-3.1-pro-preview,ru06,baseline
4e582da5be414835,gemini-3.1-pro-preview,ru06,random
26e74b6bc9d679f5,gemini-3.1-pro-preview,ru07,random
fe91da88edb6b07d,gemini-3.1-pro-preview,ru07,guided
ef5fa05eeff4c7bc,gemini-3.1-pro-preview,ru07,baseline
bc13af78f82fa8ce,gemini-3.1-pro-preview,ru09,guided
6169195e56e9cf87,gemini-3.1-pro-preview,ru09,random
0ffdbc60522d6636,gemini-3.1-pro-preview,ru09,baseline
b65d8f71f27a9097,gemini-3.1-pro-preview,ru10,random
8daf70f145f3cc4f,gemini-3.1-pro-preview,ru10,guided
824b0ca473241743,gemini-3.1-pro-preview,ru10,baseline
