model_id,question_id,sentence_index,score,source,status,error
gemini-3.1-pro-preview,p021,0,45,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,1,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p021,6,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,4,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p025,6,70,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,4,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p027,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,1,8,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,5,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p029,6,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,1,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,2,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,3,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,4,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p033,5,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,2,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,3,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p034,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p035,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p040,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p042,0,5,baseline_replay,complete,
gemini-3.1-pro-preview,p042,1,15,baseline_replay,complete,
gemini-3.1-pro-preview,p042,2,10,baseline_replay,complete,
gemini-3.1-pro-preview,p042,3,10,baseline_replay,complete,
gemini-3.1-pro-preview,p042,4,10,baseline_replay,complete,
gemini-3.1-pro-preview,p042,5,30,baseline_replay,complete,
gemini-3.1-pro-preview,p044,0,10,baseline_replay,complete,
gemini-3.1-pro-preview,p044,1,12,baseline_replay,complete,
gemini-3.1-pro-preview,p044,2,15,baseline_replay,complete,
gemini-3.1-pro-preview,p044,3,11,baseline_replay,complete,
gemini-3.1-pro-preview,p044,4,8,baseline_replay,complete,
gemini-3.1-pro-preview,p044,5,12,baseline_replay,complete,
gemini-3.1-pro-preview,p044,6,9,baseline_replay,complete,
gemini-3.1-pro-preview,p045,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,2,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p045,6,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,1,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,2,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,4,30,v5.6_extension,complete,
gemini-3.1-pro-preview,p046,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,3,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p052,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,4,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p054,5,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,2,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,4,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p056,6,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,1,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p060,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,2,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p065,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p066,5,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,1,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,2,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,3,42,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,5,65,v5.6_extension,complete,
gemini-3.1-pro-preview,p068,6,85,v5.6_extension,complete,
gemini-3.1-pro-preview,p070,0,10,baseline_replay,complete,
gemini-3.1-pro-preview,p070,1,40,baseline_replay,complete,
gemini-3.1-pro-preview,p070,2,45,baseline_replay,complete,
gemini-3.1-pro-preview,p070,3,60,baseline_replay,complete,
gemini-3.1-pro-preview,p070,4,65,baseline_replay,complete,
gemini-3.1-pro-preview,p070,5,85,baseline_replay,complete,
gemini-3.1-pro-preview,p070,6,15,baseline_replay,complete,
gemini-3.1-pro-preview,p071,0,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p071,1,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p071,2,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p071,3,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p071,4,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p071,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,0,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,1,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p072,6,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,1,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,2,14,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,3,9,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,4,16,v5.6_extension,complete,
gemini-3.1-pro-preview,p073,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,0,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,1,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,2,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,3,65,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,5,45,v5.6_extension,complete,
gemini-3.1-pro-preview,p077,6,80,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,1,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p081,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,2,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,3,30,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p082,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,0,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,1,40,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,4,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p084,5,50,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,1,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,3,11,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,4,14,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,5,9,v5.6_extension,complete,
gemini-3.1-pro-preview,p086,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p092,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,2,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p095,5,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p096,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,1,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,2,8,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,3,7,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,4,6,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,5,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p099,6,14,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,0,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,1,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,2,35,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,4,45,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,5,30,v5.6_extension,complete,
gemini-3.1-pro-preview,ru01,6,40,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,1,50,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,2,35,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,3,45,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru02,6,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,0,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,2,30,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,5,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru03,6,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru04,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,0,90,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,1,30,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,2,40,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,3,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,4,30,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru05,6,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,2,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru06,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,2,12,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,3,18,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,4,14,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,5,8,v5.6_extension,complete,
gemini-3.1-pro-preview,ru07,6,50,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,1,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,3,25,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,4,35,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,5,45,v5.6_extension,complete,
gemini-3.1-pro-preview,ru08,6,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,4,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru09,6,50,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,0,5,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,3,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,ru10,6,10,v5.6_extension,complete,
gpt-5.5,p001,0,35,baseline_replay,complete,
gpt-5.5,p001,1,18,baseline_replay,complete,
gpt-5.5,p001,2,24,baseline_replay,complete,
gpt-5.5,p001,3,22,baseline_replay,complete,
gpt-5.5,p001,4,21,baseline_replay,complete,
gpt-5.5,p001,5,20,baseline_replay,complete,
gpt-5.5,p002,0,45,v5.6_extension,complete,
gpt-5.5,p002,1,20,v5.6_extension,complete,
gpt-5.5,p002,2,25,v5.6_extension,complete,
gpt-5.5,p002,3,35,v5.6_extension,complete,
gpt-5.5,p002,4,40,v5.6_extension,complete,
gpt-5.5,p002,5,40,v5.6_extension,complete,
gpt-5.5,p003,0,8,v5.6_extension,complete,
gpt-5.5,p003,1,15,v5.6_extension,complete,
gpt-5.5,p003,2,14,v5.6_extension,complete,
gpt-5.5,p003,3,18,v5.6_extension,complete,
gpt-5.5,p003,4,16,v5.6_extension,complete,
gpt-5.5,p003,5,10,v5.6_extension,complete,
gpt-5.5,p004,0,38,v5.6_extension,complete,
gpt-5.5,p004,1,34,v5.6_extension,complete,
gpt-5.5,p004,2,31,v5.6_extension,complete,
gpt-5.5,p004,3,42,v5.6_extension,complete,
gpt-5.5,p004,4,35,v5.6_extension,complete,
gpt-5.5,p004,5,37,v5.6_extension,complete,
gpt-5.5,p012,0,8,v5.6_extension,complete,
gpt-5.5,p012,1,10,v5.6_extension,complete,
gpt-5.5,p012,2,10,v5.6_extension,complete,
gpt-5.5,p012,3,12,v5.6_extension,complete,
gpt-5.5,p012,4,9,v5.6_extension,complete,
gpt-5.5,p012,5,9,v5.6_extension,complete,
gpt-5.5,p013,0,8,v5.6_extension,complete,
gpt-5.5,p013,1,10,v5.6_extension,complete,
gpt-5.5,p013,2,8,v5.6_extension,complete,
gpt-5.5,p013,3,9,v5.6_extension,complete,
gpt-5.5,p013,4,7,v5.6_extension,complete,
gpt-5.5,p013,5,9,v5.6_extension,complete,
gpt-5.5,p015,0,12,v5.6_extension,complete,
gpt-5.5,p015,1,18,v5.6_extension,complete,
gpt-5.5,p015,2,15,v5.6_extension,complete,
gpt-5.5,p015,3,14,v5.6_extension,complete,
gpt-5.5,p015,4,13,v5.6_extension,complete,
gpt-5.5,p015,5,11,v5.6_extension,complete,
gpt-5.5,p018,0,12,v5.6_extension,complete,
gpt-5.5,p018,1,24,v5.6_extension,complete,
gpt-5.5,p018,2,16,v5.6_extension,complete,
gpt-5.5,p018,3,20,v5.6_extension,complete,
gpt-5.5,p018,4,18,v5.6_extension,complete,
gpt-5.5,p018,5,10,v5.6_extension,complete,
gpt-5.5,p021,0,12,v5.6_extension,complete,
gpt-5.5,p021,1,18,v5.6_extension,complete,
gpt-5.5,p021,2,15,v5.6_extension,complete,
gpt-5.5,p021,3,14,v5.6_extension,complete,
gpt-5.5,p021,4,16,v5.6_extension,complete,
gpt-5.5,p021,5,11,v5.6_extension,complete,
gpt-5.5,p025,0,12,v5.6_extension,complete,
gpt-5.5,p025,1,10,v5.6_extension,complete,
gpt-5.5,p025,2,22,v5.6_extension,complete,
gpt-5.5,p025,3,13,v5.6_extension,complete,
gpt-5.5,p025,4,14,v5.6_extension,complete,
gpt-5.5,p025,5,11,v5.6_extension,complete,
gpt-5.5,p027,0,18,v5.6_extension,complete,
gpt-5.5,p027,1,22,v5.6_extension,complete,
gpt-5.5,p027,2,20,v5.6_extension,complete,
gpt-5.5,p027,3,17,v5.6_extension,complete,
gpt-5.5,p027,4,19,v5.6_extension,complete,
gpt-5.5,p027,5,18,v5.6_extension,complete,
gpt-5.5,p029,0,8,v5.6_extension,complete,
gpt-5.5,p029,1,10,v5.6_extension,complete,
gpt-5.5,p029,2,16,v5.6_extension,complete,
gpt-5.5,p029,3,9,v5.6_extension,complete,
gpt-5.5,p029,4,7,v5.6_extension,complete,
gpt-5.5,p029,5,11,v5.6_extension,complete,
gpt-5.5,p033,0,8,v5.6_extension,complete,
gpt-5.5,p033,1,12,v5.6_extension,complete,
gpt-5.5,p033,2,10,v5.6_extension,complete,
gpt-5.5,p033,3,9,v5.6_extension,complete,
gpt-5.5,p033,4,11,v5.6_extension,complete,
gpt-5.5,p033,5,8,v5.6_extension,complete,
gpt-5.5,p034,0,15,v5.6_extension,complete,
gpt-5.5,p034,1,18,v5.6_extension,complete,
gpt-5.5,p034,2,18,v5.6_extension,complete,
gpt-5.5,p034,3,17,v5.6_extension,complete,
gpt-5.5,p034,4,14,v5.6_extension,complete,
gpt-5.5,p034,5,16,v5.6_extension,complete,
gpt-5.5,p035,0,8,v5.6_extension,complete,
gpt-5.5,p035,1,12,v5.6_extension,complete,
gpt-5.5,p035,2,13,v5.6_extension,complete,
gpt-5.5,p035,3,11,v5.6_extension,complete,
gpt-5.5,p035,4,9,v5.6_extension,complete,
gpt-5.5,p035,5,7,v5.6_extension,complete,
gpt-5.5,p040,0,18,v5.6_extension,complete,
gpt-5.5,p040,1,20,v5.6_extension,complete,
gpt-5.5,p040,2,16,v5.6_extension,complete,
gpt-5.5,p040,3,14,v5.6_extension,complete,
gpt-5.5,p040,4,22,v5.6_extension,complete,
gpt-5.5,p040,5,17,v5.6_extension,complete,
gpt-5.5,p042,0,15,baseline_replay,complete,
gpt-5.5,p042,1,18,baseline_replay,complete,
gpt-5.5,p042,2,17,baseline_replay,complete,
gpt-5.5,p042,3,16,baseline_replay,complete,
gpt-5.5,p042,4,18,baseline_replay,complete,
gpt-5.5,p042,5,14,baseline_replay,complete,
gpt-5.5,p044,0,32,baseline_replay,complete,
gpt-5.5,p044,1,35,baseline_replay,complete,
gpt-5.5,p044,2,31,baseline_replay,complete,
gpt-5.5,p044,3,29,baseline_replay,complete,
gpt-5.5,p044,4,30,baseline_replay,complete,
gpt-5.5,p044,5,27,baseline_replay,complete,
gpt-5.5,p045,0,8,v5.6_extension,complete,
gpt-5.5,p045,1,9,v5.6_extension,complete,
gpt-5.5,p045,2,7,v5.6_extension,complete,
gpt-5.5,p045,3,12,v5.6_extension,complete,
gpt-5.5,p045,4,10,v5.6_extension,complete,
gpt-5.5,p045,5,7,v5.6_extension,complete,
gpt-5.5,p046,0,8,v5.6_extension,complete,
