model_id,question_id,live_status,live_error,post_status,post_error
deepseek-v3.2,p072,error,"ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: -1> Take the word ""knight,"" with its silent \'k\' and \'gh.\' In medieval'",pending,
deepseek-v3.2,p073,complete,,complete,
deepseek-v3.2,p077,complete,,complete,
deepseek-v3.2,p081,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: poi10>',pending,
deepseek-v3.2,p082,complete,,complete,
deepseek-v3.2,p084,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: −1>'
deepseek-v3.2,p086,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: —> 5',pending,
deepseek-v3.2,p092,error,"ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: ,15> Well, that’s actually a total myth!<AI SCORE: ,5> Research shows'",pending,
deepseek-v3.2,p095,complete,,complete,
deepseek-v3.2,p096,error,"ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE:,"" they aren\'t actually blind at all.'",pending,
deepseek-v3.2,p099,error,"ValueError: live response contains malformed/unrecognized AI score tag: ""<AI SCORE: in the low range, perhaps 15> The cold air itself doesn't give you th""",pending,
deepseek-v4-flash,p001,complete,,complete,
deepseek-v4-flash,p002,complete,,complete,
deepseek-v4-flash,p003,complete,,complete,
deepseek-v4-flash,p004,complete,,complete,
deepseek-v4-flash,p012,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
deepseek-v4-flash,p013,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
deepseek-v4-flash,p015,complete,,complete,
deepseek-v4-flash,p018,complete,,complete,
deepseek-v4-flash,p021,complete,,complete,
deepseek-v4-flash,p025,error,ValueError: live response has only 1 aligned score tags; expected at least 5,pending,
deepseek-v4-flash,p027,complete,,complete,
deepseek-v4-flash,p029,complete,,complete,
deepseek-v4-flash,p033,error,ValueError: live response has only 1 aligned score tags; expected at least 5,pending,
deepseek-v4-flash,p034,complete,,complete,
deepseek-v4-flash,p035,complete,,complete,
deepseek-v4-flash,p040,complete,,complete,
deepseek-v4-flash,p042,complete,,complete,
deepseek-v4-flash,p044,complete,,complete,
deepseek-v4-flash,p045,complete,,complete,
deepseek-v4-flash,p046,complete,,complete,
deepseek-v4-flash,p052,complete,,complete,
deepseek-v4-flash,p054,complete,,complete,
deepseek-v4-flash,p056,complete,,complete,
deepseek-v4-flash,p060,complete,,complete,
deepseek-v4-flash,p065,complete,,complete,
deepseek-v4-flash,p066,complete,,complete,
deepseek-v4-flash,p068,complete,,complete,
deepseek-v4-flash,p070,complete,,complete,
deepseek-v4-flash,p071,complete,,complete,
deepseek-v4-flash,p072,complete,,complete,
deepseek-v4-flash,p073,error,ValueError: live response has only 2 aligned score tags; expected at least 5,pending,
deepseek-v4-flash,p077,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE:  ional20>  ',pending,
deepseek-v4-flash,p081,error,ValueError: live response has only 1 aligned score tags; expected at least 5,pending,
deepseek-v4-flash,p082,complete,,complete,
deepseek-v4-flash,p084,complete,,complete,
deepseek-v4-flash,p086,error,ValueError: live response has only 2 aligned score tags; expected at least 5,pending,
deepseek-v4-flash,p092,complete,,complete,
deepseek-v4-flash,p095,complete,,complete,
deepseek-v4-flash,p096,complete,,complete,
deepseek-v4-flash,p099,complete,,complete,
gemini-3.1-pro-preview,p001,complete,,complete,
gemini-3.1-pro-preview,p002,complete,,complete,
gemini-3.1-pro-preview,p003,complete,,complete,
gemini-3.1-pro-preview,p004,complete,,complete,
gemini-3.1-pro-preview,p012,complete,,complete,
gemini-3.1-pro-preview,p013,complete,,complete,
gemini-3.1-pro-preview,p015,complete,,complete,
gemini-3.1-pro-preview,p018,complete,,complete,
gemini-3.1-pro-preview,p021,complete,,complete,
gemini-3.1-pro-preview,p025,complete,,complete,
gemini-3.1-pro-preview,p027,complete,,complete,
gemini-3.1-pro-preview,p029,complete,,complete,
gemini-3.1-pro-preview,p033,complete,,complete,
gemini-3.1-pro-preview,p034,complete,,complete,
gemini-3.1-pro-preview,p035,complete,,complete,
gemini-3.1-pro-preview,p040,complete,,complete,
gemini-3.1-pro-preview,p042,complete,,complete,
gemini-3.1-pro-preview,p044,complete,,complete,
gemini-3.1-pro-preview,p045,complete,,complete,
gemini-3.1-pro-preview,p046,complete,,complete,
gemini-3.1-pro-preview,p052,complete,,complete,
gemini-3.1-pro-preview,p054,complete,,complete,
gemini-3.1-pro-preview,p056,complete,,complete,
gemini-3.1-pro-preview,p060,complete,,complete,
gemini-3.1-pro-preview,p065,complete,,complete,
gemini-3.1-pro-preview,p066,complete,,complete,
gemini-3.1-pro-preview,p068,complete,,complete,
gemini-3.1-pro-preview,p070,complete,,complete,
gemini-3.1-pro-preview,p071,complete,,complete,
gemini-3.1-pro-preview,p072,complete,,complete,
gemini-3.1-pro-preview,p073,complete,,complete,
gemini-3.1-pro-preview,p077,complete,,complete,
gemini-3.1-pro-preview,p081,complete,,complete,
gemini-3.1-pro-preview,p082,complete,,complete,
gemini-3.1-pro-preview,p084,complete,,complete,
gemini-3.1-pro-preview,p086,complete,,complete,
gemini-3.1-pro-preview,p092,complete,,complete,
gemini-3.1-pro-preview,p095,complete,,complete,
gemini-3.1-pro-preview,p096,complete,,complete,
gemini-3.1-pro-preview,p099,complete,,complete,
gemini-3.1-pro-preview,ru01,complete,,complete,
gemini-3.1-pro-preview,ru02,complete,,complete,
gemini-3.1-pro-preview,ru03,complete,,complete,
gemini-3.1-pro-preview,ru04,complete,,complete,
gemini-3.1-pro-preview,ru05,complete,,complete,
gemini-3.1-pro-preview,ru06,complete,,complete,
gemini-3.1-pro-preview,ru07,complete,,complete,
gemini-3.1-pro-preview,ru08,complete,,complete,
gemini-3.1-pro-preview,ru09,complete,,complete,
gemini-3.1-pro-preview,ru10,complete,,complete,
gemma-3-12b-it,p001,complete,,complete,
gemma-3-12b-it,p002,complete,,complete,
gemma-3-12b-it,p003,complete,,complete,
gemma-3-12b-it,p004,complete,,complete,
gemma-3-12b-it,p012,complete,,complete,
gemma-3-12b-it,p013,complete,,complete,
gemma-3-12b-it,p015,complete,,complete,
gemma-3-12b-it,p018,complete,,complete,
gemma-3-12b-it,p021,complete,,error,"ValueError: post score count mismatch: got 7 proper tags, expected 6"
gemma-3-12b-it,p025,complete,,complete,
gemma-3-12b-it,p027,complete,,complete,
gemma-3-12b-it,p029,complete,,complete,
gemma-3-12b-it,p033,complete,,complete,
gemma-3-12b-it,p034,complete,,error,"ValueError: post score count mismatch: got 8 proper tags, expected 7"
gemma-3-12b-it,p035,complete,,complete,
gemma-3-12b-it,p040,complete,,complete,
gemma-3-12b-it,p042,complete,,complete,
gemma-3-12b-it,p044,complete,,complete,
gemma-3-12b-it,p045,complete,,complete,
gemma-3-12b-it,p046,complete,,complete,
gemma-3-12b-it,p052,complete,,complete,
gemma-3-12b-it,p054,complete,,complete,
gemma-3-12b-it,p056,complete,,complete,
gemma-3-12b-it,p060,complete,,error,"ValueError: post score count mismatch: got 7 proper tags, expected 6"
gemma-3-12b-it,p065,complete,,complete,
gemma-3-12b-it,p066,complete,,complete,
gemma-3-12b-it,p068,complete,,complete,
gemma-3-12b-it,p070,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
gemma-3-12b-it,p071,complete,,complete,
gemma-3-12b-it,p072,complete,,complete,
gemma-3-12b-it,p073,complete,,complete,
gemma-3-12b-it,p077,complete,,complete,
gemma-3-12b-it,p081,complete,,complete,
gemma-3-12b-it,p082,complete,,complete,
gemma-3-12b-it,p084,complete,,complete,
gemma-3-12b-it,p086,complete,,complete,
gemma-3-12b-it,p092,complete,,complete,
gemma-3-12b-it,p095,complete,,error,"ValueError: post score count mismatch: got 7 proper tags, expected 6"
gemma-3-12b-it,p096,complete,,complete,
gemma-3-12b-it,p099,complete,,complete,
gpt-5.5,p001,complete,,complete,
gpt-5.5,p002,complete,,complete,
gpt-5.5,p003,complete,,complete,
gpt-5.5,p004,complete,,complete,
gpt-5.5,p012,complete,,complete,
gpt-5.5,p013,complete,,complete,
gpt-5.5,p015,complete,,complete,
gpt-5.5,p018,complete,,complete,
gpt-5.5,p021,complete,,complete,
gpt-5.5,p025,complete,,complete,
gpt-5.5,p027,complete,,complete,
gpt-5.5,p029,complete,,complete,
gpt-5.5,p033,complete,,complete,
gpt-5.5,p034,complete,,complete,
gpt-5.5,p035,complete,,complete,
gpt-5.5,p040,complete,,complete,
gpt-5.5,p042,complete,,complete,
gpt-5.5,p044,complete,,complete,
gpt-5.5,p045,complete,,complete,
gpt-5.5,p046,complete,,complete,
gpt-5.5,p052,complete,,complete,
gpt-5.5,p054,complete,,complete,
gpt-5.5,p056,complete,,complete,
gpt-5.5,p060,complete,,complete,
gpt-5.5,p065,complete,,complete,
gpt-5.5,p066,complete,,complete,
gpt-5.5,p068,complete,,complete,
gpt-5.5,p070,complete,,complete,
gpt-5.5,p071,complete,,complete,
gpt-5.5,p072,complete,,complete,
gpt-5.5,p073,complete,,complete,
gpt-5.5,p077,complete,,complete,
gpt-5.5,p081,complete,,complete,
gpt-5.5,p082,complete,,complete,
gpt-5.5,p084,complete,,complete,
gpt-5.5,p086,complete,,complete,
gpt-5.5,p092,complete,,complete,
gpt-5.5,p095,complete,,complete,
gpt-5.5,p096,complete,,complete,
gpt-5.5,p099,complete,,complete,
gpt-5.5,ru01,complete,,complete,
gpt-5.5,ru02,complete,,complete,
gpt-5.5,ru03,complete,,complete,
gpt-5.5,ru04,complete,,complete,
gpt-5.5,ru05,complete,,complete,
gpt-5.5,ru06,complete,,complete,
gpt-5.5,ru07,complete,,complete,
gpt-5.5,ru08,complete,,complete,
gpt-5.5,ru09,complete,,complete,
gpt-5.5,ru10,complete,,complete,
gpt-oss-120b,p001,complete,,complete,
gpt-oss-120b,p002,complete,,complete,
gpt-oss-120b,p003,complete,,complete,
gpt-oss-120b,p004,complete,,complete,
gpt-oss-120b,p012,complete,,complete,
gpt-oss-120b,p013,complete,,complete,
gpt-oss-120b,p015,complete,,complete,
gpt-oss-120b,p018,complete,,complete,
gpt-oss-120b,p021,complete,,complete,
gpt-oss-120b,p025,complete,,complete,
gpt-oss-120b,p027,complete,,complete,
gpt-oss-120b,p029,complete,,complete,
gpt-oss-120b,p033,complete,,complete,
gpt-oss-120b,p034,complete,,complete,
gpt-oss-120b,p035,complete,,complete,
gpt-oss-120b,p040,complete,,complete,
gpt-oss-120b,p042,complete,,complete,
gpt-oss-120b,p044,complete,,complete,
gpt-oss-120b,p045,complete,,complete,
gpt-oss-120b,p046,complete,,complete,
gpt-oss-120b,p052,complete,,complete,
gpt-oss-120b,p054,complete,,complete,
gpt-oss-120b,p056,complete,,complete,
gpt-oss-120b,p060,complete,,complete,
gpt-oss-120b,p065,complete,,complete,
gpt-oss-120b,p066,complete,,complete,
gpt-oss-120b,p068,complete,,complete,
gpt-oss-120b,p070,complete,,complete,
gpt-oss-120b,p071,complete,,complete,
gpt-oss-120b,p072,complete,,complete,
gpt-oss-120b,p073,complete,,complete,
gpt-oss-120b,p077,complete,,complete,
gpt-oss-120b,p081,complete,,complete,
gpt-oss-120b,p082,complete,,complete,
gpt-oss-120b,p084,complete,,complete,
gpt-oss-120b,p086,complete,,complete,
gpt-oss-120b,p092,complete,,complete,
gpt-oss-120b,p095,complete,,complete,
gpt-oss-120b,p096,complete,,complete,
gpt-oss-120b,p099,complete,,complete,
llama-3.3-70b-instruct,p001,complete,,complete,
llama-3.3-70b-instruct,p002,complete,,complete,
llama-3.3-70b-instruct,p003,complete,,complete,
llama-3.3-70b-instruct,p004,complete,,complete,
llama-3.3-70b-instruct,p012,complete,,complete,
llama-3.3-70b-instruct,p013,complete,,complete,
llama-3.3-70b-instruct,p015,complete,,complete,
llama-3.3-70b-instruct,p018,complete,,complete,
llama-3.3-70b-instruct,p021,complete,,complete,
llama-3.3-70b-instruct,p025,complete,,complete,
llama-3.3-70b-instruct,p027,complete,,complete,
llama-3.3-70b-instruct,p029,complete,,complete,
llama-3.3-70b-instruct,p033,complete,,complete,
llama-3.3-70b-instruct,p034,complete,,complete,
llama-3.3-70b-instruct,p035,complete,,complete,
llama-3.3-70b-instruct,p040,complete,,complete,
llama-3.3-70b-instruct,p042,complete,,complete,
llama-3.3-70b-instruct,p044,complete,,complete,
llama-3.3-70b-instruct,p045,complete,,complete,
llama-3.3-70b-instruct,p046,complete,,complete,
llama-3.3-70b-instruct,p052,complete,,complete,
llama-3.3-70b-instruct,p054,complete,,complete,
llama-3.3-70b-instruct,p056,complete,,complete,
llama-3.3-70b-instruct,p060,complete,,complete,
llama-3.3-70b-instruct,p065,complete,,complete,
llama-3.3-70b-instruct,p066,complete,,complete,
llama-3.3-70b-instruct,p068,complete,,complete,
llama-3.3-70b-instruct,p070,complete,,complete,
llama-3.3-70b-instruct,p071,complete,,complete,
llama-3.3-70b-instruct,p072,complete,,complete,
llama-3.3-70b-instruct,p073,complete,,complete,
llama-3.3-70b-instruct,p077,complete,,complete,
llama-3.3-70b-instruct,p081,complete,,complete,
llama-3.3-70b-instruct,p082,complete,,complete,
llama-3.3-70b-instruct,p084,complete,,complete,
llama-3.3-70b-instruct,p086,complete,,complete,
llama-3.3-70b-instruct,p092,complete,,complete,
llama-3.3-70b-instruct,p095,complete,,complete,
llama-3.3-70b-instruct,p096,complete,,complete,
llama-3.3-70b-instruct,p099,complete,,complete,
ministral-3-14b-2512,p001,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p002,error,ValueError: live response has non-whitespace text after the final AI score; the final written material is therefore unscored,pending,
ministral-3-14b-2512,p003,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p004,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p012,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p013,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p015,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p018,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p021,complete,,complete,
ministral-3-14b-2512,p025,complete,,complete,
ministral-3-14b-2512,p027,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p029,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p033,error,ValueError: live response has only 4 aligned score tags; expected at least 5,pending,
ministral-3-14b-2512,p034,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p035,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p040,error,ValueError: live response has non-whitespace text after the final AI score; the final written material is therefore unscored,pending,
ministral-3-14b-2512,p042,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p044,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p045,complete,,complete,
ministral-3-14b-2512,p046,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p052,complete,,complete,
ministral-3-14b-2512,p054,complete,,complete,
ministral-3-14b-2512,p056,error,ValueError: live response has only 3 aligned score tags; expected at least 5,pending,
ministral-3-14b-2512,p060,complete,,complete,
ministral-3-14b-2512,p065,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
ministral-3-14b-2512,p066,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p068,complete,,complete,
ministral-3-14b-2512,p070,complete,,complete,
ministral-3-14b-2512,p071,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p072,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p073,complete,,complete,
ministral-3-14b-2512,p077,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p081,complete,,complete,
ministral-3-14b-2512,p082,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p084,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p086,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p092,error,ValueError: live response has only 3 aligned score tags; expected at least 5,pending,
ministral-3-14b-2512,p095,complete,,complete,
ministral-3-14b-2512,p096,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
ministral-3-14b-2512,p099,complete,,complete,
qwen3-30b-a3b-instruct-2507,p001,complete,,complete,
qwen3-30b-a3b-instruct-2507,p002,complete,,complete,
qwen3-30b-a3b-instruct-2507,p003,complete,,complete,
qwen3-30b-a3b-instruct-2507,p004,complete,,complete,
qwen3-30b-a3b-instruct-2507,p012,complete,,complete,
qwen3-30b-a3b-instruct-2507,p013,complete,,complete,
qwen3-30b-a3b-instruct-2507,p015,complete,,complete,
qwen3-30b-a3b-instruct-2507,p018,complete,,complete,
qwen3-30b-a3b-instruct-2507,p021,complete,,complete,
qwen3-30b-a3b-instruct-2507,p025,complete,,complete,
qwen3-30b-a3b-instruct-2507,p027,complete,,complete,
qwen3-30b-a3b-instruct-2507,p029,complete,,complete,
qwen3-30b-a3b-instruct-2507,p033,complete,,complete,
qwen3-30b-a3b-instruct-2507,p034,complete,,complete,
qwen3-30b-a3b-instruct-2507,p035,complete,,complete,
qwen3-30b-a3b-instruct-2507,p040,complete,,complete,
qwen3-30b-a3b-instruct-2507,p042,complete,,complete,
qwen3-30b-a3b-instruct-2507,p044,complete,,complete,
qwen3-30b-a3b-instruct-2507,p045,complete,,complete,
qwen3-30b-a3b-instruct-2507,p046,complete,,complete,
qwen3-30b-a3b-instruct-2507,p052,complete,,complete,
qwen3-30b-a3b-instruct-2507,p054,complete,,complete,
qwen3-30b-a3b-instruct-2507,p056,error,ValueError: empty text unit before an AI score; detached score blocks cannot be aligned sentence-by-sentence,pending,
qwen3-30b-a3b-instruct-2507,p060,complete,,complete,
qwen3-30b-a3b-instruct-2507,p065,complete,,complete,
qwen3-30b-a3b-instruct-2507,p066,complete,,complete,
qwen3-30b-a3b-instruct-2507,p068,complete,,complete,
qwen3-30b-a3b-instruct-2507,p070,complete,,complete,
qwen3-30b-a3b-instruct-2507,p071,complete,,complete,
qwen3-30b-a3b-instruct-2507,p072,complete,,complete,
qwen3-30b-a3b-instruct-2507,p073,complete,,complete,
qwen3-30b-a3b-instruct-2507,p077,complete,,complete,
qwen3-30b-a3b-instruct-2507,p081,complete,,complete,
qwen3-30b-a3b-instruct-2507,p082,complete,,complete,
qwen3-30b-a3b-instruct-2507,p084,complete,,complete,
qwen3-30b-a3b-instruct-2507,p086,complete,,complete,
qwen3-30b-a3b-instruct-2507,p092,complete,,complete,
qwen3-30b-a3b-instruct-2507,p095,complete,,complete,
qwen3-30b-a3b-instruct-2507,p096,complete,,complete,
qwen3-30b-a3b-instruct-2507,p099,complete,,complete,
