model_id,question_id,baseline_post_mean,guided_corrected_post_mean,random_corrected_post_mean,guided_change_vs_baseline,random_change_vs_baseline,guided_advantage_random_minus_guided,guided_target_index,guided_target_live_score,random_target_index,random_target_live_score
gpt-5.5,p044,34.166666666666664,32.5,31.666666666666668,-1.6666666666666643,-2.4999999999999964,-0.8333333333333321,1,35,2,24
gpt-5.5,p045,21.666666666666668,20.333333333333332,21.166666666666668,-1.3333333333333357,-0.5,0.8333333333333357,3,22,0,12
gpt-5.5,p046,22.666666666666668,20.166666666666668,16.166666666666668,-2.5,-6.5,-4.0,1,24,0,12
gpt-5.5,p052,21.166666666666668,27.166666666666668,17.0,6.0,-4.166666666666668,-10.166666666666668,3,24,2,20
gpt-5.5,p054,18.166666666666668,23.0,32.166666666666664,4.833333333333332,13.999999999999996,9.166666666666664,1,27,0,18
gpt-5.5,p056,30.833333333333332,20.5,27.333333333333332,-10.333333333333332,-3.5,6.833333333333332,3,24,0,12
gpt-5.5,p060,14.333333333333334,18.0,17.833333333333332,3.666666666666666,3.4999999999999982,-0.16666666666666785,4,20,5,9
gpt-5.5,p065,28.666666666666668,24.0,17.333333333333332,-4.666666666666668,-11.333333333333336,-6.666666666666668,4,22,2,18
gpt-5.5,p066,11.0,16.166666666666668,15.333333333333334,5.166666666666668,4.333333333333334,-0.8333333333333339,2,21,0,14
gpt-5.5,p068,33.333333333333336,36.5,26.166666666666668,3.1666666666666643,-7.166666666666668,-10.333333333333332,4,34,5,28
gpt-5.5,p070,27.571428571428573,19.714285714285715,32.857142857142854,-7.857142857142858,5.285714285714281,13.142857142857139,4,34,2,28
gpt-5.5,p071,25.0,26.571428571428573,33.714285714285715,1.571428571428573,8.714285714285715,7.142857142857142,4,30,3,22
gpt-5.5,p072,18.5,10.5,18.0,-8.0,-0.5,7.5,3,22,4,10
gpt-5.5,p073,25.0,27.833333333333332,33.666666666666664,2.833333333333332,8.666666666666664,5.833333333333332,1,22,5,10
gpt-5.5,p077,28.333333333333332,24.5,24.5,-3.833333333333332,-3.833333333333332,0.0,3,32,4,29
gpt-5.5,p081,21.666666666666668,27.5,27.5,5.833333333333332,5.833333333333332,0.0,4,24,1,21
gpt-5.5,p082,27.5,29.333333333333332,24.5,1.8333333333333321,-3.0,-4.833333333333332,1,32,3,24
gpt-5.5,p084,23.833333333333332,25.166666666666668,22.5,1.3333333333333357,-1.3333333333333321,-2.666666666666668,4,34,0,18
gpt-5.5,p086,16.666666666666668,19.666666666666668,19.5,3.0,2.833333333333332,-0.16666666666666785,2,24,4,21
gpt-5.5,p092,20.666666666666668,20.833333333333332,15.0,0.1666666666666643,-5.666666666666668,-5.833333333333332,1,24,5,14
gpt-5.5,p095,16.5,17.0,17.5,0.5,1.0,0.5,3,20,4,16
gpt-5.5,p096,16.333333333333332,22.166666666666668,17.0,5.833333333333336,0.6666666666666679,-5.166666666666668,2,18,1,10
gpt-5.5,p099,22.428571428571427,22.857142857142858,19.285714285714285,0.4285714285714306,-3.1428571428571423,-3.571428571428573,3,24,4,20
gpt-5.5,ru01,28.666666666666668,25.333333333333332,30.833333333333332,-3.3333333333333357,2.1666666666666643,5.5,4,22,3,18
gpt-5.5,ru02,38.333333333333336,27.833333333333332,30.666666666666668,-10.500000000000004,-7.666666666666668,2.8333333333333357,2,27,5,19
gpt-5.5,ru03,19.142857142857142,24.571428571428573,21.714285714285715,5.428571428571431,2.571428571428573,-2.8571428571428577,5,19,4,17
gpt-5.5,ru04,22.666666666666668,35.0,34.833333333333336,12.333333333333332,12.166666666666668,-0.1666666666666643,2,35,1,27
gpt-5.5,ru05,22.428571428571427,27.714285714285715,31.428571428571427,5.285714285714288,9.0,3.7142857142857117,4,34,5,20
gpt-5.5,ru06,20.666666666666668,33.666666666666664,20.5,12.999999999999996,-0.16666666666666785,-13.166666666666664,5,22,2,15
gpt-5.5,ru07,19.571428571428573,29.142857142857142,18.428571428571427,9.57142857142857,-1.142857142857146,-10.714285714285715,4,18,5,17
gpt-5.5,ru08,36.833333333333336,36.333333333333336,32.833333333333336,-0.5,-4.0,-3.5,4,24,2,20
gpt-5.5,ru09,23.0,27.833333333333332,27.833333333333332,4.833333333333332,4.833333333333332,0.0,2,32,3,28
gpt-5.5,ru10,31.857142857142858,24.714285714285715,23.571428571428573,-7.142857142857142,-8.285714285714285,-1.1428571428571423,3,31,2,24
gemini-3.1-pro-preview,p001,37.5,35.833333333333336,65.83333333333333,-1.6666666666666643,28.33333333333333,29.999999999999993,3,20,0,5
gemini-3.1-pro-preview,p002,65.71428571428571,40.714285714285715,55.714285714285715,-24.999999999999993,-9.999999999999993,15.0,5,25,1,15
gemini-3.1-pro-preview,p003,34.285714285714285,29.285714285714285,37.142857142857146,-5.0,2.857142857142861,7.857142857142861,5,25,1,20
gemini-3.1-pro-preview,p004,44.166666666666664,46.666666666666664,23.333333333333332,2.5,-20.833333333333332,-23.333333333333332,1,40,4,25
gemini-3.1-pro-preview,p012,14.166666666666666,24.166666666666668,13.333333333333334,10.000000000000002,-0.8333333333333321,-10.833333333333334,2,25,5,15
gemini-3.1-pro-preview,p013,21.666666666666668,19.166666666666668,45.833333333333336,-2.5,24.166666666666668,26.666666666666668,1,15,3,5
gemini-3.1-pro-preview,p015,54.285714285714285,55.0,62.857142857142854,0.7142857142857153,8.57142857142857,7.857142857142854,6,45,4,20
gemini-3.1-pro-preview,p018,35.0,40.0,45.714285714285715,5.0,10.714285714285715,5.714285714285715,5,60,0,15
gemini-3.1-pro-preview,p021,42.857142857142854,14.285714285714286,41.42857142857143,-28.57142857142857,-1.4285714285714235,27.142857142857146,3,20,1,15
gemini-3.1-pro-preview,p025,32.142857142857146,57.142857142857146,35.0,25.0,2.857142857142854,-22.142857142857146,3,25,2,20
gemini-3.1-pro-preview,p027,16.666666666666668,14.166666666666666,21.666666666666668,-2.5000000000000018,5.0,7.500000000000002,3,25,2,15
gemini-3.1-pro-preview,p029,18.571428571428573,43.57142857142857,30.0,24.999999999999996,11.428571428571427,-13.57142857142857,2,30,1,5
gemini-3.1-pro-preview,p033,29.166666666666668,44.166666666666664,36.666666666666664,14.999999999999996,7.4999999999999964,-7.5,4,30,1,10
gemini-3.1-pro-preview,p034,16.666666666666668,15.833333333333334,15.833333333333334,-0.8333333333333339,-0.8333333333333339,0.0,1,20,4,5
gemini-3.1-pro-preview,p040,32.857142857142854,19.285714285714285,18.571428571428573,-13.57142857142857,-14.285714285714281,-0.7142857142857117,2,15,0,10
gemini-3.1-pro-preview,p042,23.333333333333332,24.166666666666668,31.666666666666668,0.8333333333333357,8.333333333333336,7.5,5,15,4,5
gemini-3.1-pro-preview,p044,40.0,22.142857142857142,16.428571428571427,-17.857142857142858,-23.571428571428573,-5.714285714285715,2,20,6,5
gemini-3.1-pro-preview,p045,71.42857142857143,66.42857142857143,51.42857142857143,-5.0,-20.0,-15.0,6,20,1,15
gemini-3.1-pro-preview,p052,11.666666666666666,10.833333333333334,14.166666666666666,-0.8333333333333321,2.5,3.333333333333332,3,20,4,10
gemini-3.1-pro-preview,p054,36.666666666666664,14.166666666666666,22.5,-22.5,-14.166666666666664,8.333333333333334,2,25,4,5
gemini-3.1-pro-preview,p056,65.71428571428571,22.142857142857142,33.57142857142857,-43.57142857142857,-32.14285714285714,11.428571428571427,2,30,4,20
gemini-3.1-pro-preview,p060,12.5,8.333333333333334,33.333333333333336,-4.166666666666666,20.833333333333336,25.0,4,25,1,20
gemini-3.1-pro-preview,p065,38.333333333333336,55.833333333333336,40.0,17.5,1.6666666666666643,-15.833333333333336,5,25,3,20
gemini-3.1-pro-preview,p066,41.666666666666664,44.166666666666664,44.166666666666664,2.5,2.5,0.0,2,35,4,15
gemini-3.1-pro-preview,p068,65.71428571428571,44.285714285714285,45.714285714285715,-21.428571428571423,-19.999999999999993,1.4285714285714306,5,40,6,20
gemini-3.1-pro-preview,p070,63.57142857142857,65.0,74.28571428571429,1.4285714285714306,10.714285714285722,9.285714285714292,5,50,2,30
gemini-3.1-pro-preview,p071,24.166666666666668,36.666666666666664,25.0,12.499999999999996,0.8333333333333321,-11.666666666666664,2,20,1,15
gemini-3.1-pro-preview,p072,45.0,50.0,29.285714285714285,5.0,-15.714285714285715,-20.714285714285715,3,20,6,5
gemini-3.1-pro-preview,p073,13.333333333333334,22.5,25.0,9.166666666666666,11.666666666666666,2.5,4,15,0,5
gemini-3.1-pro-preview,p077,54.285714285714285,63.57142857142857,65.71428571428571,9.285714285714285,11.428571428571423,2.142857142857139,6,50,0,10
gemini-3.1-pro-preview,p081,19.166666666666668,60.833333333333336,15.833333333333334,41.66666666666667,-3.333333333333334,-45.0,4,20,2,10
gemini-3.1-pro-preview,p082,32.5,17.5,35.0,-15.0,2.5,17.5,3,30,2,25
gemini-3.1-pro-preview,p084,51.666666666666664,67.5,67.5,15.833333333333336,15.833333333333336,0.0,4,25,2,10
gemini-3.1-pro-preview,p086,32.142857142857146,15.714285714285714,12.142857142857142,-16.42857142857143,-20.000000000000004,-3.571428571428571,1,25,2,15
gemini-3.1-pro-preview,p095,31.666666666666668,13.333333333333334,17.5,-18.333333333333336,-14.166666666666668,4.166666666666666,1,30,0,10
gemini-3.1-pro-preview,p096,42.5,36.666666666666664,33.333333333333336,-5.833333333333336,-9.166666666666664,-3.3333333333333286,3,20,2,15
gemini-3.1-pro-preview,p099,29.285714285714285,28.571428571428573,17.142857142857142,-0.7142857142857117,-12.142857142857142,-11.42857142857143,5,20,4,5
gemini-3.1-pro-preview,ru02,67.85714285714286,42.857142857142854,66.42857142857143,-25.000000000000007,-1.4285714285714306,23.571428571428577,3,35,4,10
gemini-3.1-pro-preview,ru03,46.42857142857143,40.714285714285715,44.285714285714285,-5.714285714285715,-2.142857142857146,3.5714285714285694,2,30,5,20
gemini-3.1-pro-preview,ru04,52.857142857142854,40.0,25.714285714285715,-12.857142857142854,-27.14285714285714,-14.285714285714285,2,20,6,10
gemini-3.1-pro-preview,ru05,46.42857142857143,50.714285714285715,60.0,4.285714285714285,13.57142857142857,9.285714285714285,2,20,5,5
gemini-3.1-pro-preview,ru06,40.0,39.285714285714285,33.57142857142857,-0.7142857142857153,-6.428571428571431,-5.714285714285715,5,25,1,15
gemini-3.1-pro-preview,ru07,40.714285714285715,21.428571428571427,17.857142857142858,-19.28571428571429,-22.857142857142858,-3.5714285714285694,6,25,2,5
gemini-3.1-pro-preview,ru09,59.285714285714285,26.428571428571427,51.42857142857143,-32.85714285714286,-7.857142857142854,25.000000000000004,6,30,1,10
gemini-3.1-pro-preview,ru10,47.857142857142854,35.714285714285715,48.57142857142857,-12.142857142857139,0.7142857142857153,12.857142857142854,4,20,6,10
