model_id,variant_id,question_id,live_status,post_status,live_error,post_error
gemini-3.1-pro-preview,paraphrase,r01_personal_update,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r02_parent_group,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r03_workplace_story,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r04_neighborhood,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r05_product_experience,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r06_complaint_story,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r07_group_message,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r08_service_recommendation,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r09_family_trip,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r10_travel_moment,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r11_change_of_mind,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r12_recommendation,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r13_return_visit,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r14_opinion_post,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r15_small_event,complete,complete,,
gemini-3.1-pro-preview,paraphrase,r16_event_recap,complete,complete,,
gemini-3.1-pro-preview,reverse,r01_personal_update,complete,complete,,
gemini-3.1-pro-preview,reverse,r02_parent_group,complete,complete,,
gemini-3.1-pro-preview,reverse,r03_workplace_story,complete,complete,,
gemini-3.1-pro-preview,reverse,r04_neighborhood,complete,complete,,
gemini-3.1-pro-preview,reverse,r05_product_experience,complete,complete,,
gemini-3.1-pro-preview,reverse,r06_complaint_story,complete,complete,,
gemini-3.1-pro-preview,reverse,r07_group_message,complete,complete,,
gemini-3.1-pro-preview,reverse,r08_service_recommendation,complete,complete,,
gemini-3.1-pro-preview,reverse,r09_family_trip,complete,complete,,
gemini-3.1-pro-preview,reverse,r10_travel_moment,complete,complete,,
gemini-3.1-pro-preview,reverse,r11_change_of_mind,complete,complete,,
gemini-3.1-pro-preview,reverse,r12_recommendation,complete,complete,,
gemini-3.1-pro-preview,reverse,r13_return_visit,complete,complete,,
gemini-3.1-pro-preview,reverse,r14_opinion_post,complete,complete,,
gemini-3.1-pro-preview,reverse,r15_small_event,complete,complete,,
gemini-3.1-pro-preview,reverse,r16_event_recap,complete,complete,,
gpt-5.5,minimal,r01_personal_update,complete,complete,,
gpt-5.5,minimal,r02_parent_group,complete,complete,,
gpt-5.5,minimal,r03_workplace_story,complete,complete,,
gpt-5.5,minimal,r04_neighborhood,complete,complete,,
gpt-5.5,minimal,r05_product_experience,complete,complete,,
gpt-5.5,minimal,r06_complaint_story,complete,complete,,
gpt-5.5,minimal,r07_group_message,complete,complete,,
gpt-5.5,minimal,r08_service_recommendation,complete,complete,,
gpt-5.5,minimal,r09_family_trip,complete,complete,,
gpt-5.5,minimal,r10_travel_moment,complete,complete,,
gpt-5.5,minimal,r11_change_of_mind,complete,complete,,
gpt-5.5,minimal,r12_recommendation,complete,complete,,
gpt-5.5,minimal,r13_return_visit,complete,complete,,
gpt-5.5,minimal,r14_opinion_post,complete,complete,,
gpt-5.5,minimal,r15_small_event,complete,complete,,
gpt-5.5,minimal,r16_event_recap,complete,complete,,
gpt-5.5,original,r01_personal_update,complete,complete,,
gpt-5.5,original,r02_parent_group,complete,complete,,
gpt-5.5,original,r03_workplace_story,complete,complete,,
gpt-5.5,original,r04_neighborhood,complete,complete,,
gpt-5.5,original,r05_product_experience,complete,complete,,
gpt-5.5,original,r06_complaint_story,complete,complete,,
gpt-5.5,original,r07_group_message,complete,complete,,
gpt-5.5,original,r08_service_recommendation,complete,complete,,
gpt-5.5,original,r09_family_trip,complete,complete,,
gpt-5.5,original,r10_travel_moment,complete,complete,,
gpt-5.5,original,r11_change_of_mind,complete,complete,,
gpt-5.5,original,r12_recommendation,complete,complete,,
gpt-5.5,original,r13_return_visit,complete,complete,,
gpt-5.5,original,r14_opinion_post,complete,complete,,
gpt-5.5,original,r15_small_event,complete,complete,,
gpt-5.5,original,r16_event_recap,complete,complete,,
gpt-5.5,paraphrase,r01_personal_update,complete,complete,,
gpt-5.5,paraphrase,r02_parent_group,complete,complete,,
gpt-5.5,paraphrase,r03_workplace_story,complete,complete,,
gpt-5.5,paraphrase,r04_neighborhood,complete,complete,,
gpt-5.5,paraphrase,r05_product_experience,complete,complete,,
gpt-5.5,paraphrase,r06_complaint_story,complete,complete,,
gpt-5.5,paraphrase,r07_group_message,complete,complete,,
gpt-5.5,paraphrase,r08_service_recommendation,complete,complete,,
gpt-5.5,paraphrase,r09_family_trip,complete,complete,,
gpt-5.5,paraphrase,r10_travel_moment,complete,complete,,
gpt-5.5,paraphrase,r11_change_of_mind,complete,complete,,
gpt-5.5,paraphrase,r12_recommendation,complete,complete,,
gpt-5.5,paraphrase,r13_return_visit,complete,complete,,
gpt-5.5,paraphrase,r14_opinion_post,complete,complete,,
gpt-5.5,paraphrase,r15_small_event,complete,complete,,
gpt-5.5,paraphrase,r16_event_recap,complete,complete,,
gpt-5.5,reverse,r01_personal_update,complete,complete,,
gpt-5.5,reverse,r02_parent_group,complete,complete,,
gpt-5.5,reverse,r03_workplace_story,complete,complete,,
gpt-5.5,reverse,r04_neighborhood,complete,complete,,
gpt-5.5,reverse,r05_product_experience,complete,complete,,
gpt-5.5,reverse,r06_complaint_story,complete,complete,,
gpt-5.5,reverse,r07_group_message,complete,complete,,
gpt-5.5,reverse,r08_service_recommendation,complete,complete,,
gpt-5.5,reverse,r09_family_trip,complete,complete,,
gpt-5.5,reverse,r10_travel_moment,complete,complete,,
gpt-5.5,reverse,r11_change_of_mind,complete,complete,,
gpt-5.5,reverse,r12_recommendation,complete,complete,,
gpt-5.5,reverse,r13_return_visit,complete,complete,,
gpt-5.5,reverse,r14_opinion_post,complete,complete,,
gpt-5.5,reverse,r15_small_event,complete,complete,,
gpt-5.5,reverse,r16_event_recap,complete,complete,,
