model_id,question_id,family,sentence_index,live_score,post_score,replay_score
gemini-3.1-pro-preview,p085,arts_culture,5,15,95,10
gemini-3.1-pro-preview,p093,misconceptions,0,15,20,10
gemini-3.1-pro-preview,p093,misconceptions,1,10,35,15
gemini-3.1-pro-preview,p093,misconceptions,2,25,40,15
gemini-3.1-pro-preview,p093,misconceptions,3,5,50,10
gemini-3.1-pro-preview,p093,misconceptions,4,10,30,10
gemini-3.1-pro-preview,p093,misconceptions,5,15,15,10
gemini-3.1-pro-preview,p093,misconceptions,6,10,60,10
gpt-5.5,p006,history,0,18,18,12
gpt-5.5,p006,history,1,24,28,18
gpt-5.5,p006,history,2,12,14,10
gpt-5.5,p006,history,3,28,35,16
gpt-5.5,p006,history,4,20,24,13
gpt-5.5,p006,history,5,10,10,8
gpt-5.5,p014,science,0,12,15,12
gpt-5.5,p014,science,1,8,22,14
gpt-5.5,p014,science,2,10,18,13
gpt-5.5,p014,science,3,18,28,16
gpt-5.5,p014,science,4,14,16,15
gpt-5.5,p014,science,5,16,24,15
gpt-5.5,p026,biology_medicine,0,12,10,12
gpt-5.5,p026,biology_medicine,1,18,18,18
gpt-5.5,p026,biology_medicine,2,14,12,15
gpt-5.5,p026,biology_medicine,3,20,15,16
gpt-5.5,p026,biology_medicine,4,13,12,14
gpt-5.5,p026,biology_medicine,5,9,8,8
gpt-5.5,p031,technology,0,12,10,7
gpt-5.5,p031,technology,1,24,24,12
gpt-5.5,p031,technology,2,15,12,8
gpt-5.5,p031,technology,3,18,18,9
gpt-5.5,p031,technology,4,14,13,9
gpt-5.5,p031,technology,5,21,20,10
gpt-5.5,p043,economics,0,18,15,15
gpt-5.5,p043,economics,1,24,32,18
gpt-5.5,p043,economics,2,16,20,14
gpt-5.5,p043,economics,3,14,22,16
gpt-5.5,p043,economics,4,20,28,17
gpt-5.5,p043,economics,5,12,18,15
gpt-5.5,p051,geography,0,12,12,12
gpt-5.5,p051,geography,1,10,18,18
gpt-5.5,p051,geography,2,18,22,22
gpt-5.5,p051,geography,3,14,16,18
gpt-5.5,p051,geography,4,16,12,14
gpt-5.5,p051,geography,5,11,15,16
gpt-5.5,p069,food_culture,0,12,28,12
gpt-5.5,p069,food_culture,1,18,42,18
gpt-5.5,p069,food_culture,2,15,34,14
gpt-5.5,p069,food_culture,3,14,38,15
gpt-5.5,p069,food_culture,4,24,52,16
gpt-5.5,p069,food_culture,5,17,46,18
gpt-5.5,p076,language,0,18,22,12
gpt-5.5,p076,language,1,24,38,18
gpt-5.5,p076,language,2,16,24,14
gpt-5.5,p076,language,3,12,18,13
gpt-5.5,p076,language,4,15,31,15
gpt-5.5,p076,language,5,20,29,16
gpt-5.5,p085,arts_culture,0,12,12,8
gpt-5.5,p085,arts_culture,1,18,18,10
gpt-5.5,p085,arts_culture,2,10,15,12
gpt-5.5,p085,arts_culture,3,22,24,11
gpt-5.5,p085,arts_culture,4,14,17,9
gpt-5.5,p085,arts_culture,5,16,20,13
gpt-5.5,p093,misconceptions,0,18,15,18
gpt-5.5,p093,misconceptions,1,24,32,24
gpt-5.5,p093,misconceptions,2,16,18,20
gpt-5.5,p093,misconceptions,3,28,30,26
gpt-5.5,p093,misconceptions,4,14,14,17
gpt-5.5,p093,misconceptions,5,19,20,19
