language,model_id,question_id,live_score,expanded_replay,post_score,writer_critic,future_context,total_retrospective
en,gemini-3.1-pro-preview,p044,11.428571428571429,11.0,40.0,-0.4285714285714288,29.0,28.57142857142857
en,gemini-3.1-pro-preview,p045,11.428571428571429,17.857142857142858,71.42857142857143,6.428571428571429,53.57142857142857,60.0
en,gemini-3.1-pro-preview,p046,18.333333333333332,15.0,60.0,-3.333333333333332,45.0,41.66666666666667
en,gemini-3.1-pro-preview,p052,10.833333333333334,15.833333333333334,11.666666666666666,5.0,-4.166666666666668,0.8333333333333321
en,gemini-3.1-pro-preview,p054,12.5,10.0,36.666666666666664,-2.5,26.666666666666664,24.166666666666664
en,gemini-3.1-pro-preview,p056,13.571428571428571,14.285714285714286,65.71428571428571,0.7142857142857153,51.42857142857142,52.14285714285714
en,gemini-3.1-pro-preview,p060,15.0,15.833333333333334,12.5,0.8333333333333339,-3.333333333333334,-2.5
en,gemini-3.1-pro-preview,p065,15.0,10.833333333333334,38.333333333333336,-4.166666666666666,27.5,23.333333333333336
en,gemini-3.1-pro-preview,p066,16.666666666666668,9.166666666666666,41.666666666666664,-7.500000000000002,32.5,24.999999999999996
en,gemini-3.1-pro-preview,p068,22.142857142857142,37.714285714285715,65.71428571428571,15.571428571428573,27.999999999999993,43.57142857142857
en,gemini-3.1-pro-preview,p070,29.285714285714285,45.714285714285715,63.57142857142857,16.42857142857143,17.857142857142854,34.285714285714285
en,gemini-3.1-pro-preview,p071,11.666666666666666,23.333333333333332,24.166666666666668,11.666666666666666,0.8333333333333357,12.500000000000002
en,gemini-3.1-pro-preview,p072,10.0,17.142857142857142,45.0,7.142857142857142,27.857142857142858,35.0
en,gemini-3.1-pro-preview,p073,7.5,13.5,13.333333333333334,6.0,-0.16666666666666607,5.833333333333334
en,gemini-3.1-pro-preview,p077,20.714285714285715,40.0,54.285714285714285,19.285714285714285,14.285714285714285,33.57142857142857
en,gemini-3.1-pro-preview,p081,12.5,14.166666666666666,19.166666666666668,1.666666666666666,5.000000000000002,6.666666666666668
en,gemini-3.1-pro-preview,p082,19.166666666666668,16.666666666666668,32.5,-2.5,15.833333333333332,13.333333333333332
en,gemini-3.1-pro-preview,p084,12.5,30.0,51.666666666666664,17.5,21.666666666666664,39.166666666666664
en,gemini-3.1-pro-preview,p086,14.285714285714286,11.571428571428571,32.142857142857146,-2.7142857142857153,20.571428571428577,17.85714285714286
en,gemini-3.1-pro-preview,p092,5.333333333333333,10.833333333333334,40.0,5.500000000000001,29.166666666666664,34.666666666666664
en,gemini-3.1-pro-preview,p095,17.5,10.833333333333334,31.666666666666668,-6.666666666666666,20.833333333333336,14.166666666666668
en,gemini-3.1-pro-preview,p096,12.5,14.166666666666666,42.5,1.666666666666666,28.333333333333336,30.0
en,gemini-3.1-pro-preview,p099,10.714285714285714,9.142857142857142,29.285714285714285,-1.5714285714285712,20.142857142857142,18.57142857142857
en,gpt-5.5,p001,24.666666666666668,23.333333333333332,29.833333333333332,-1.3333333333333357,6.5,5.166666666666664
en,gpt-5.5,p002,19.666666666666668,34.166666666666664,41.666666666666664,14.499999999999996,7.5,21.999999999999996
en,gpt-5.5,p003,21.166666666666668,13.5,26.166666666666668,-7.666666666666668,12.666666666666668,5.0
en,gpt-5.5,p004,23.833333333333332,36.166666666666664,39.0,12.333333333333332,2.8333333333333357,15.166666666666668
en,gpt-5.5,p012,19.666666666666668,9.666666666666666,17.166666666666668,-10.000000000000002,7.500000000000002,-2.5
en,gpt-5.5,p013,15.666666666666666,8.5,11.666666666666666,-7.166666666666666,3.166666666666666,-4.0
en,gpt-5.5,p015,24.0,13.833333333333334,15.0,-10.166666666666666,1.166666666666666,-9.0
en,gpt-5.5,p018,27.833333333333332,16.666666666666668,30.0,-11.166666666666664,13.333333333333332,2.166666666666668
en,gpt-5.5,p021,14.333333333333334,14.333333333333334,14.666666666666666,0.0,0.33333333333333215,0.33333333333333215
en,gpt-5.5,p025,19.333333333333332,13.666666666666666,23.0,-5.666666666666666,9.333333333333334,3.666666666666668
en,gpt-5.5,p027,24.166666666666668,19.0,23.333333333333332,-5.166666666666668,4.333333333333332,-0.8333333333333357
en,gpt-5.5,p029,17.333333333333332,10.166666666666666,22.0,-7.166666666666666,11.833333333333334,4.666666666666668
en,gpt-5.5,p033,14.0,9.666666666666666,14.5,-4.333333333333334,4.833333333333334,0.5
en,gpt-5.5,p034,20.833333333333332,16.333333333333332,22.0,-4.5,5.666666666666668,1.1666666666666679
en,gpt-5.5,p035,16.5,10.0,13.166666666666666,-6.5,3.166666666666666,-3.333333333333334
en,gpt-5.5,p040,14.166666666666666,17.833333333333332,19.5,3.666666666666666,1.6666666666666679,5.333333333333334
en,gpt-5.5,p042,11.666666666666666,16.333333333333332,21.333333333333332,4.666666666666666,5.0,9.666666666666666
en,gpt-5.5,p044,23.333333333333332,30.666666666666668,34.166666666666664,7.333333333333336,3.4999999999999964,10.833333333333332
en,gpt-5.5,p045,12.166666666666666,8.833333333333334,21.666666666666668,-3.333333333333332,12.833333333333334,9.500000000000002
en,gpt-5.5,p046,15.833333333333334,11.833333333333334,22.666666666666668,-4.0,10.833333333333334,6.833333333333334
en,gpt-5.5,p052,19.5,13.666666666666666,21.166666666666668,-5.833333333333334,7.500000000000002,1.6666666666666679
en,gpt-5.5,p054,20.333333333333332,13.833333333333334,18.166666666666668,-6.499999999999998,4.333333333333334,-2.1666666666666643
en,gpt-5.5,p056,18.666666666666668,19.5,30.833333333333332,0.8333333333333321,11.333333333333332,12.166666666666664
en,gpt-5.5,p060,14.166666666666666,13.5,14.333333333333334,-0.6666666666666661,0.8333333333333339,0.16666666666666785
en,gpt-5.5,p065,16.166666666666668,11.5,28.666666666666668,-4.666666666666668,17.166666666666668,12.5
en,gpt-5.5,p066,17.0,9.5,11.0,-7.5,1.5,-6.0
en,gpt-5.5,p068,25.333333333333332,22.166666666666668,33.333333333333336,-3.1666666666666643,11.166666666666668,8.000000000000004
en,gpt-5.5,p070,22.142857142857142,16.285714285714285,27.571428571428573,-5.857142857142858,11.285714285714288,5.428571428571431
en,gpt-5.5,p071,22.285714285714285,20.428571428571427,25.0,-1.8571428571428577,4.571428571428573,2.7142857142857153
en,gpt-5.5,p072,13.833333333333334,11.333333333333334,18.5,-2.5,7.166666666666666,4.666666666666666
en,gpt-5.5,p073,16.666666666666668,17.666666666666668,25.0,1.0,7.333333333333332,8.333333333333332
en,gpt-5.5,p077,24.333333333333332,17.666666666666668,28.333333333333332,-6.666666666666664,10.666666666666664,4.0
en,gpt-5.5,p081,18.0,14.5,21.666666666666668,-3.5,7.166666666666668,3.666666666666668
en,gpt-5.5,p082,22.333333333333332,20.666666666666668,27.5,-1.6666666666666643,6.833333333333332,5.166666666666668
en,gpt-5.5,p084,26.166666666666668,20.0,23.833333333333332,-6.166666666666668,3.833333333333332,-2.3333333333333357
en,gpt-5.5,p086,19.666666666666668,11.5,16.666666666666668,-8.166666666666668,5.166666666666668,-3.0
en,gpt-5.5,p092,15.5,15.666666666666666,20.666666666666668,0.16666666666666607,5.000000000000002,5.166666666666668
en,gpt-5.5,p095,16.166666666666668,9.333333333333334,16.5,-6.833333333333334,7.166666666666666,0.33333333333333215
en,gpt-5.5,p096,12.833333333333334,7.5,16.333333333333332,-5.333333333333334,8.833333333333332,3.4999999999999982
en,gpt-5.5,p099,16.285714285714285,12.714285714285714,22.428571428571427,-3.571428571428571,9.714285714285714,6.142857142857142
ru,gemini-3.1-pro-preview,ru01,17.857142857142858,30.714285714285715,51.42857142857143,12.857142857142858,20.714285714285715,33.57142857142857
ru,gemini-3.1-pro-preview,ru02,17.142857142857142,29.285714285714285,67.85714285714286,12.142857142857142,38.57142857142858,50.71428571428572
ru,gemini-3.1-pro-preview,ru03,15.714285714285714,21.428571428571427,46.42857142857143,5.7142857142857135,25.000000000000004,30.714285714285715
ru,gemini-3.1-pro-preview,ru04,11.428571428571429,12.857142857142858,52.857142857142854,1.4285714285714288,40.0,41.42857142857142
ru,gemini-3.1-pro-preview,ru05,9.285714285714286,35.714285714285715,46.42857142857143,26.42857142857143,10.714285714285715,37.142857142857146
ru,gemini-3.1-pro-preview,ru06,14.285714285714286,10.0,40.0,-4.2857142857142865,30.0,25.714285714285715
ru,gemini-3.1-pro-preview,ru07,12.857142857142858,18.142857142857142,40.714285714285715,5.285714285714285,22.571428571428573,27.857142857142858
ru,gemini-3.1-pro-preview,ru08,17.857142857142858,25.0,56.42857142857143,7.142857142857142,31.42857142857143,38.57142857142857
ru,gemini-3.1-pro-preview,ru09,14.285714285714286,18.571428571428573,59.285714285714285,4.2857142857142865,40.71428571428571,45.0
ru,gemini-3.1-pro-preview,ru10,11.428571428571429,13.571428571428571,47.857142857142854,2.1428571428571423,34.285714285714285,36.42857142857142
ru,gpt-5.5,ru01,13.0,15.5,28.666666666666668,2.5,13.166666666666668,15.666666666666668
ru,gpt-5.5,ru02,21.666666666666668,30.0,38.333333333333336,8.333333333333332,8.333333333333336,16.666666666666668
ru,gpt-5.5,ru03,15.142857142857142,12.857142857142858,19.142857142857142,-2.2857142857142847,6.285714285714285,4.0
ru,gpt-5.5,ru04,27.333333333333332,22.5,22.666666666666668,-4.833333333333332,0.16666666666666785,-4.666666666666664
ru,gpt-5.5,ru05,25.428571428571427,15.571428571428571,22.428571428571427,-9.857142857142856,6.857142857142856,-3.0
ru,gpt-5.5,ru06,16.833333333333332,12.0,20.666666666666668,-4.833333333333332,8.666666666666668,3.8333333333333357
ru,gpt-5.5,ru07,15.0,15.285714285714286,19.571428571428573,0.2857142857142865,4.2857142857142865,4.571428571428573
ru,gpt-5.5,ru08,17.833333333333332,23.333333333333332,36.833333333333336,5.5,13.500000000000004,19.000000000000004
ru,gpt-5.5,ru09,24.0,33.666666666666664,23.0,9.666666666666664,-10.666666666666664,-1.0
ru,gpt-5.5,ru10,17.857142857142858,10.142857142857142,31.857142857142858,-7.714285714285715,21.714285714285715,14.0
