model_id,question_id,family,sentence_index,live_score,post_score,replay_score
gpt-5.5,p043,economics,0,12,15,18
gpt-5.5,p043,economics,1,28,24,24
gpt-5.5,p043,economics,2,10,10,16
gpt-5.5,p043,economics,3,24,26,22
gpt-5.5,p043,economics,4,16,18,19
gpt-5.5,p043,economics,5,8,12,15
gpt-5.5,p051,geography,0,18,12,8
gpt-5.5,p051,geography,1,22,22,18
gpt-5.5,p051,geography,2,27,28,24
gpt-5.5,p051,geography,3,24,24,20
gpt-5.5,p051,geography,4,16,15,12
gpt-5.5,p051,geography,5,12,10,9
gpt-5.5,p069,food_culture,0,12,15,8
gpt-5.5,p069,food_culture,1,18,25,12
gpt-5.5,p069,food_culture,2,16,35,15
gpt-5.5,p069,food_culture,3,21,40,14
gpt-5.5,p069,food_culture,4,24,55,18
gpt-5.5,p069,food_culture,5,19,45,16
gpt-5.5,p076,language,0,12,15,8
gpt-5.5,p076,language,1,28,35,22
gpt-5.5,p076,language,2,22,30,18
gpt-5.5,p076,language,3,8,10,6
gpt-5.5,p076,language,4,18,28,10
gpt-5.5,p076,language,5,10,18,9
gpt-5.5,p085,arts_culture,0,12,12,12
gpt-5.5,p085,arts_culture,1,18,18,18
gpt-5.5,p085,arts_culture,2,10,10,15
gpt-5.5,p085,arts_culture,3,22,22,17
gpt-5.5,p085,arts_culture,4,16,15,16
gpt-5.5,p085,arts_culture,5,14,20,15
gpt-5.5,p093,misconceptions,0,18,8,8
gpt-5.5,p093,misconceptions,1,32,24,14
gpt-5.5,p093,misconceptions,2,24,20,16
gpt-5.5,p093,misconceptions,3,21,12,12
gpt-5.5,p093,misconceptions,4,27,18,13
gpt-5.5,p093,misconceptions,5,20,14,11
